GENE    CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P
60313     1  46092976  46153782      3       1  387649       1.8703     0.030724
51249     1  46153847  46160110      1       1  387649       1.7401     0.040925
3652      1  46159996  46216485      3       1  387649        2.074      0.01904
5581      2  45878454  46415129      8       3  387649     0.021953      0.49124
93550    10  46111039  46168251      5       2  387649       1.1029      0.13505
196528   12  46123494  46301820      2       1  387649       2.3185      0.01021
220081   13  46115432  46189874     15       6  387649      0.80227       0.2112
10951    17  46147414  46178883      9       3  387649       2.3735    0.0088092
9811     18  46065427  46389588     10       3  387649       1.3819     0.083508
24139    19  46112658  46148775      2       1  387649       3.4776   0.00025298
8202     20  46130601  46285621      3       2  387649       0.2178      0.41379
25814    22  46067678  46241187     11       3  387649      0.25963      0.39757
